NCT00321685	READ
NCT00392327	MBL
NCT00492778	USC
NCT00601003	MBL|NBL
NCT00632853	
NCT00887146	
NCT00980954	
NCT01042522	SCST|SLCT
NCT01101451	CEAD|CEAS&UASC|CESC
NCT01349881	
NCT01503632	
NCT01553071	
NCT01595061	
NCT01602666	
NCT01614197	
NCT01659658	
NCT01674140	
NCT01744223	AML|MLYM
NCT01803282	NSCLC
NCT01818986	
NCT01878617	MBL
NCT01926197	
NCT01953588	IDC|ILC
NCT01956669	
NCT01962896	
NCT01979536	
NCT02003222	
NCT02013336	OS|NBL|RMS|ES
NCT02043665	NSCLC
NCT02064673	
NCT02065869	MDS
NCT02092324	
NCT02098343	
NCT02101853	
NCT02112916	
NCT02115282	
NCT02135042	
NCT02152982	GB|GSARC
NCT02154490	
NCT02155920	
NCT02163356	NBL
NCT02166463	CHL
NCT02176967	GNBL
NCT02178722	UCEC|MLYM|MEL
NCT02180867	SYNS|LMS|EMCHS|MFS|IMT|LGFMS|PECOMA|CCS|EPIS|ASPS|INTS|MCHSCNS|LIPO|MYCHS|MPNST|NST|SEF|AFX
NCT02193282	
NCT02194738	LUAD|LCLC
NCT02201992	
NCT02203695	PRAD
NCT02228096	
NCT02240238	
NCT02285439	
NCT02289144	
NCT02303821	
NCT02306161	
NCT02332668	CHL|MLYM|MEL
NCT02339740	
NCT02354586	
NCT02357836	NSCLC
NCT02392429	AML
NCT02398773	
NCT02401542	
NCT02407054	
NCT02411448	
NCT02424617	NSCLC
NCT02445391	BRCA
NCT02450331	
NCT02465060	PCM|UCEC|MLYM|MEL
NCT02466971	CEAS&UASC|VSC|CESC|CEAD|VA
NCT02477826	NSCLC
NCT02477878	MDS|PCM|MLYM
NCT02484443	
NCT02492711	
NCT02495415	
NCT02498951	
NCT02502266	EOV|SOC|OSMCA&MXOV
NCT02513667	
NCT02514031	
NCT02516423	
NCT02521493	MPN
NCT02524119	HCC
NCT02549651	
NCT02554812	
NCT02557854	OS|NBL|RMS
NCT02559778	NBL
NCT02562443	MDS
NCT02562755	
NCT02567435	ERMS|SCRMS|ARMS|RMS
NCT02568267	THPA|RCC|CHOL|NSCLC|MEL
NCT02572453	
NCT02576990	PMBL
NCT02580448	
NCT02584478	UCEC
NCT02595424	
NCT02595944	
NCT02596503	
NCT02598661	MDS
NCT02601937	SYNS
NCT02617589	
NCT02631876	
NCT02632708	
NCT02637687	
NCT02655822	NSCLC|RCC|MEL
NCT02659020	
NCT02664961	BCCA|GTD|ETT
NCT02667587	
NCT02667873	
NCT02674568	SCLC
NCT02677116	
NCT02677922	
NCT02679144	NBL
NCT02684058	GB|AASTR|ANGL|GNC|CHGL|CNC|GNG|AGNG|EVN|DASTR|ASTR|PAST|AODG|PGNT|PXA
NCT02684461	
NCT02688608	THAP
NCT02703272	
NCT02706626	NSCLC
NCT02715284	
NCT02717507	
NCT02719574	MDS|AML
NCT02724579	MBL
NCT02725268	
NCT02728258	UEC|USC
NCT02729298	
NCT02734537	LXSC|HNSC|HPHSC
NCT02741570	
NCT02748135	
NCT02773849	
NCT02781506	
NCT02793583	FL|MZL|CLLSLL|MCL
NCT02811783	MYCF
NCT02817113	
NCT02828358	
NCT02834013	SEM|IHCH|UAD|MAAP|VSC|SARCL|OGCT|CHOL|MBC|GIST|ACYC|VA|PGNG|USTAD|NPC|PSCC|LUCA|CHDM|PTCA|ODGC|CEMU|CEEN|CEAD|TMT|PSTT|PHC|ACC|DES|PAAC|USCC|ACCC|BLAD|MPNST
NCT02851407	
NCT02853305	
NCT02853604	
NCT02855125	
NCT02867592	RCC|ACC|LIHB|THME|HCC|ES
NCT02879643	
NCT02883049	
NCT02892201	HNSC
NCT02893930	
NCT02899195	PLMESO
NCT02902484	
NCT02912559	COAD
NCT02913261	
NCT02922777	NSCLC
NCT02924376	CHOL
NCT02927769	HL
NCT02947347	
NCT02952534	
NCT02981628	
NCT02989857	
NCT03007147	
NCT03013998	
NCT03024996	RCC
NCT03029585	
NCT03033511	SCLC
NCT03033576	
NCT03036488	
NCT03038100	
NCT03055013	SRCC|URCC
NCT03061812	SCLC
NCT03065179	
NCT03065712	
NCT03067181	
NCT03067610	
NCT03070886	
NCT03072238	
NCT03077698	UCEC
NCT03091660	
NCT03095612	NSCLC
NCT03101566	
NCT03110562	PCM
NCT03117309	
NCT03126916	
NCT03137771	
NCT03138499	HL
NCT03141034	STAD
NCT03142334	RCC
NCT03151304	MDS
NCT03155620	MRT|HDCS
NCT03155997	
NCT03164603	
NCT03181126	
NCT03190915	
NCT03215511	GB|FIBS|CHOL|HNSC|ASTR|GIST|MEL
NCT03241550	
NCT03245151	
NCT03268954	MDS
NCT03289039	
NCT03298451	HCC
NCT03303339	AML
NCT03306264	MDS|CMML
NCT03312114	
NCT03318497	PAAD
NCT03336216	
NCT03343197	
NCT03361748	PCM
NCT03365882	COAD|READ
NCT03382561	
NCT03426865	TYST|TCCA
NCT03441360	ES
NCT03519997	HCC
NCT03533582	LIHB
